pelier,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,first,last,first.last@cs.arizona.edu,Instructor
pelier1,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,first,last,first.last@arizona.edu,Student
student1,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,John,Doe,john.doe@arizona.edu,Student
student2,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Jane,Smith,jane.smith@arizona.edu,Student
student3,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Emily,Jones,emily.jones@arizona.edu,Student
student4,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Michael,Brown,michael.brown@arizona.edu,Student
student5,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Sarah,Davis,sarah.davis@arizona.edu,Student
student6,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,David,Wilson,david.wilson@arizona.edu,Student
student7,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Laura,Garcia,laura.garcia@arizona.edu,Student
student8,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,James,Martinez,james.martinez@arizona.edu,Student
student9,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,Olivia,Johnson,olivia.hernandez@arizona.edu,Student
student10,caeuuFdtkPmrG8KyZ66JUpcYtgX1yAHnfR5wdnnV6Rw=,William,Miller,william.lopez@arizona.edu,Student

